,Experience,Age,Education,Fav_lang_C++,Fav_lang_JavaScript,Fav_lang_MATLAB,Fav_lang_Python,Fav_lang_R,Fav_lang_Scala,Fav_lang_Whitespace,Fav_movie_And Now for Something Completely Different,Fav_movie_Monty Python Live at the Hollywood Bowl,Fav_movie_Monty Python and the Holy Grail,Fav_movie_Monty Python's Life of Brian,Fav_movie_Monty Python's The Meaning of Life,Fav_movie_Time Bandits,Sklearn_Nope.,Sklearn_Yep!,Humans_Machines_Skynet is a WINNER!,Humans_Machines_Team Humans!,Fav_Game_Chess,Fav_Game_Go,Fav_Game_Longing for the sweet release of death,"Fav_Game_Tic-tac-toe (Br. Eng. ""noughts and crosses"")"
0,20.0,53,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,4.0,33,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
2,1.0,31,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
3,12.0,60,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
4,7.0,48,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
5,3.0,32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
6,3.0,34,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
7,5.0,24,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
8,4.0,34,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
9,0.0,32,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
10,2.0,46,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
11,1.0,27,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
12,0.2,43,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
13,5.0,32,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
14,2.0,41,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
15,7.0,28,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
16,4.0,47,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
17,2.0,27,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
18,4.0,37,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
19,2.0,60,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
20,2.0,41,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
21,3.0,27,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
22,2.0,40,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
23,4.0,29,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
24,3.0,28,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
25,2.0,36,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
26,1.0,28,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
27,2.0,46,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
28,3.0,31,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
29,27.0,63,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
30,10.0,99,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
31,3.0,48,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
32,3.0,24,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
33,4.0,28,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
34,4.0,25,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
35,3.0,35,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
36,2.0,46,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
37,4.0,22,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
38,1.0,22,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
39,2.0,48,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
40,8.0,33,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
41,2.0,41,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
42,1.0,31,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
43,1.0,39,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
44,7.0,24,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
45,1.0,31,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
46,3.0,28,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
47,2.0,40,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
48,1.0,36,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
49,1.0,42,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
50,25.0,25,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
51,0.0,37,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
52,1.0,36,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
53,10.0,3,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
54,2.0,46,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
55,12.0,30,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
56,2.0,46,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
57,6.0,49,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
58,2.0,33,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
59,2.0,60,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
60,12.0,46,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
61,1.0,36,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
62,8.0,38,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
63,6.0,51,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
64,1.0,28,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
65,4.0,32,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
66,2.0,25,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
67,5.0,31,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
68,1.0,24,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
69,5.0,53,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
70,5.0,27,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
71,0.0,34,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
72,1.0,36,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
73,3.0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
74,1.0,27,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
75,3.0,30,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
76,5.0,39,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
77,0.0,37,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
78,5.0,30,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
79,1.0,32,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
80,8.0,52,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
81,7.0,12,-10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
82,3.0,29,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
83,7.0,37,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
84,5.0,34,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
85,3.0,3,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
86,2.0,32,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
87,0.0,31,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
88,2.0,27,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
89,12.0,46,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
90,4.0,51,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
91,0.0,41,8,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
92,1.0,40,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
93,4.0,40,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
94,2.0,39,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
95,1.0,57,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
96,0.5,23,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
97,2.0,23,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
98,8.0,41,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
99,1.0,27,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
100,1.0,47,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
101,5.0,49,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
102,2.0,32,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
103,1.0,26,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
104,1.0,26,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
105,1.0,29,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
106,3.0,30,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
107,0.5,52,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
108,7.0,26,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
109,0.5,27,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
110,3.0,30,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
111,1.0,34,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
112,4.0,35,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
113,3.0,44,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
114,25.0,76,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
115,25.0,75,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
