Timestamp,Favorite programming language,Favorite Monty Python movie,Years of Python experience,Have used Scikit-learn,Age,"In the Terminator franchise, did you root for the humans or the machines?",Which is the better game?,Years of post-secondary education (e.g. BA=4; Ph.D.=10),How successful has this tutorial been so far?
4/8/2018 8:34:08,Python,Monty Python's Life of Brian,20,Yep!,53,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",12,8
4/8/2018 9:57:15,Python,Monty Python and the Holy Grail,4,Yep!,33,Team Humans!,Chess,5,9
4/8/2018 9:57:35,Python,Monty Python and the Holy Grail,1,Yep!,31,Team Humans!,Chess,10,10
4/8/2018 9:57:58,Python,Monty Python and the Holy Grail,12,Yep!,60,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",10,6
4/8/2018 9:58:05,Python,Monty Python's The Meaning of Life,7,Yep!,48,Team Humans!,Go,6,10
4/8/2018 9:58:07,Python,Monty Python's Life of Brian,3,Yep!,32,Team Humans!,Longing for the sweet release of death,0,10
4/8/2018 9:59:58,Python,Monty Python and the Holy Grail,3,Yep!,34,Team Humans!,Chess,10,4
4/8/2018 10:01:11,Python,Monty Python's The Meaning of Life,5,Yep!,24,Team Humans!,Chess,6,3
4/8/2018 10:02:51,Python,Monty Python and the Holy Grail,4,Yep!,34,Team Humans!,Chess,10,10
4/8/2018 10:04:37,R,Monty Python and the Holy Grail,0,Yep!,32,Team Humans!,Chess,5,4
4/8/2018 10:10:25,Python,Monty Python and the Holy Grail,2,Yep!,46,Team Humans!,Chess,4,3
4/8/2018 10:11:14,Python,And Now for Something Completely Different,1,Yep!,27,Team Humans!,Longing for the sweet release of death,6,7
4/8/2018 10:13:49,Python,Monty Python and the Holy Grail,0.2,Yep!,43,Skynet is a WINNER!,Chess,4,3
4/8/2018 13:05:00,Python,Monty Python and the Holy Grail,5,Nope.,32,Team Humans!,Chess,7,7
4/8/2018 10:20:32,Python,And Now for Something Completely Different,2,Yep!,41,Skynet is a WINNER!,Chess,8,4
4/8/2018 10:21:07,Python,Monty Python's Life of Brian,7,Yep!,28,Team Humans!,Chess,6,8
4/8/2018 10:21:35,Python,Monty Python's Life of Brian,4,Yep!,47,Team Humans!,Chess,4,10
4/8/2018 10:21:48,Python,Monty Python's Life of Brian,2,Yep!,27,Skynet is a WINNER!,Go,4,8
4/8/2018 10:21:54,Python,Monty Python's The Meaning of Life,4,Yep!,37,Team Humans!,Chess,4,10
4/8/2018 10:21:57,Python,Time Bandits,2,Yep!,60,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",4,5
4/8/2018 10:23:06,Python,Monty Python and the Holy Grail,2,Yep!,41,Team Humans!,Chess,6,8
4/8/2018 10:23:06,Python,Monty Python and the Holy Grail,3,Yep!,27,Team Humans!,Longing for the sweet release of death,BA=5,9
4/8/2018 10:23:24,Python,Monty Python and the Holy Grail,2,Yep!,40,Team Humans!,Chess,5,4
4/8/2018 10:27:05,Python,Monty Python and the Holy Grail,4,Yep!,29,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",10,10
4/8/2018 10:27:23,Python,Monty Python and the Holy Grail,3,Yep!,28,Team Humans!,Chess,2,10
4/8/2018 10:35:52,R,Monty Python and the Holy Grail,2,Yep!,36,Skynet is a WINNER!,Chess,5,8
4/8/2018 11:06:09,Python,Monty Python and the Holy Grail,1,Yep!,28,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",BA = 4,9
4/8/2018 11:11:09,R,Time Bandits,2,Nope.,46,Team Humans!,Chess,8,8
4/8/2018 11:39:30,Python,Monty Python and the Holy Grail,3,Nope.,31,Team Humans!,Chess,4,8
4/8/2018 12:05:16,Python,Monty Python and the Holy Grail,27,Yep!,63,Team Humans!,Chess,8,9
4/8/2018 12:12:14,Python,Monty Python's The Meaning of Life,10,Yep!,99,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",7,5
4/8/2018 12:13:46,Python,Monty Python's Life of Brian,3,Nope.,48,Skynet is a WINNER!,Longing for the sweet release of death,6,10
4/8/2018 12:47:20,R,Monty Python and the Holy Grail,3,Yep!,24,Team Humans!,Longing for the sweet release of death,4,6
4/8/2018 12:47:51,Python,Monty Python and the Holy Grail,4,Yep!,28,Team Humans!,Longing for the sweet release of death,6,8
4/8/2018 12:52:07,Python,Monty Python and the Holy Grail,4,Yep!,25,Team Humans!,Go,7,8
4/8/2018 12:56:57,R,Monty Python and the Holy Grail,3,Yep!,35,Team Humans!,Chess,4,5
4/8/2018 13:04:58,Python,Monty Python and the Holy Grail,2,Yep!,46,Team Humans!,Chess,4,3
4/8/2018 13:05:10,Python,Monty Python and the Holy Grail,4,Yep!,22,Team Humans!,Longing for the sweet release of death,3,10
4/8/2018 13:05:10,Python,Monty Python and the Holy Grail,1,Nope.,22,Team Humans!,Longing for the sweet release of death,4,8
4/8/2018 13:05:13,Python,Monty Python's The Meaning of Life,2,Yep!,48,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",12,9
4/8/2018 13:05:14,Python,Monty Python and the Holy Grail,8,Nope.,33,Team Humans!,Chess,10,10
4/8/2018 13:05:18,Python,Monty Python's The Meaning of Life,2,Yep!,41,Skynet is a WINNER!,Longing for the sweet release of death,9,8
4/8/2018 13:05:27,MATLAB,Time Bandits,1,Nope.,31,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",10,7
4/8/2018 13:05:32,Python,Monty Python and the Holy Grail,1,Nope.,39,Team Humans!,Longing for the sweet release of death,7,7
4/8/2018 13:05:36,Python,Monty Python and the Holy Grail,7,Yep!,24,Team Humans!,Chess,10,5
4/8/2018 13:05:43,Python,Monty Python and the Holy Grail,1,Yep!,31,Skynet is a WINNER!,Chess,10,3
4/8/2018 13:05:47,R,And Now for Something Completely Different,3,Yep!,28,Skynet is a WINNER!,Chess,6,7
4/8/2018 13:05:48,Python,Monty Python's Life of Brian,2,Yep!,40,Team Humans!,Chess,4,3
4/8/2018 13:07:24,MATLAB,Monty Python and the Holy Grail,1,Nope.,36,Team Humans!,Chess,10,8
4/8/2018 13:05:57,Scala,Monty Python's The Meaning of Life,1,Nope.,42,Skynet is a WINNER!,Chess,5,1
4/8/2018 13:05:59,Python,And Now for Something Completely Different,25,Nope.,25,Skynet is a WINNER!,Chess,6,7
4/8/2018 13:06:02,R,Monty Python's The Meaning of Life,0,Yep!,37,Team Humans!,Chess,4,8
4/8/2018 13:06:02,Python,Monty Python and the Holy Grail,1,Yep!,36,Team Humans!,Chess,4,6
4/8/2018 13:06:02,Python,Monty Python's The Meaning of Life,10,Yep!,3,Team Humans!,Chess,10,9
4/8/2018 13:06:05,Python,Time Bandits,2,Nope.,46,Skynet is a WINNER!,Chess,4,9
4/8/2018 13:06:05,Python,Monty Python's Life of Brian,12,Yep!,30,Team Humans!,Chess,6,9
4/8/2018 13:08:58,R,Time Bandits,2,Nope.,46,Team Humans!,Chess,8,10
4/8/2018 13:06:08,Python,Monty Python's The Meaning of Life,6,Yep!,49,Team Humans!,Go,10,8
4/8/2018 13:06:08,Python,Monty Python and the Holy Grail,2,Yep!,33,Team Humans!,Chess,2,7
4/8/2018 13:06:09,Python,Time Bandits,2,Yep!,60,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",4,3
4/8/2018 13:06:13,Python,Monty Python and the Holy Grail,12,Nope.,46,Team Humans!,Go,10,8
4/8/2018 13:06:13,Python,Monty Python's Life of Brian,1,Yep!,36,Team Humans!,Chess,4,8
4/8/2018 13:06:14,C++,Monty Python and the Holy Grail,8,Nope.,38,Team Humans!,Chess,7,8
4/8/2018 13:06:20,Python,Monty Python's The Meaning of Life,6,Yep!,51,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",6,8
4/8/2018 13:06:20,Python,Monty Python's The Meaning of Life,1,Nope.,28,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",4,7
4/8/2018 13:06:20,Python,Monty Python and the Holy Grail,4,Nope.,32,Skynet is a WINNER!,Chess,5,8
4/8/2018 13:06:20,Python,Monty Python and the Holy Grail,2,Yep!,25,Team Humans!,Chess,5,8
4/8/2018 13:06:21,Python,And Now for Something Completely Different,5,Yep!,31,Team Humans!,Longing for the sweet release of death,4,7
4/8/2018 13:06:22,Python,Monty Python and the Holy Grail,1,Yep!,24,Team Humans!,Chess,4,8
4/8/2018 13:06:22,Python,Monty Python and the Holy Grail,5,Nope.,53,Team Humans!,Longing for the sweet release of death,6,8
4/8/2018 13:06:23,Python,Monty Python and the Holy Grail,5,Yep!,27,Skynet is a WINNER!,Chess,4,7
4/8/2018 13:06:25,R,And Now for Something Completely Different,0,Nope.,34,Team Humans!,Chess,7,4
4/8/2018 13:06:26,MATLAB,And Now for Something Completely Different,1,Yep!,36,Team Humans!,Chess,6,5
4/8/2018 13:06:31,Python,Time Bandits,3,Yep!,20,Team Humans!,Longing for the sweet release of death,0,5
4/8/2018 13:06:32,Python,And Now for Something Completely Different,1,Yep!,27,Team Humans!,Longing for the sweet release of death,10,5
4/8/2018 13:06:36,Python,Monty Python's The Meaning of Life,3,Nope.,30,Skynet is a WINNER!,Chess,6,4
4/8/2018 13:06:37,Python,Monty Python and the Holy Grail,5,Yep!,39,Team Humans!,Chess,10,4
4/8/2018 13:24:32,Python,And Now for Something Completely Different,0,Yep!,37,Team Humans!,Chess,12,7
4/8/2018 13:06:42,Python,Monty Python and the Holy Grail,5,Yep!,30,Team Humans!,Longing for the sweet release of death,4,10
4/8/2018 13:06:52,JavaScript,Monty Python and the Holy Grail,1,Nope.,32,Team Humans!,Chess,3,9
4/8/2018 13:06:53,Python,Monty Python's The Meaning of Life,8,Yep!,52,Team Humans!,Chess,0,8
4/8/2018 13:06:53,Whitespace,Monty Python's The Meaning of Life,7,Yep!,12,Team Humans!,Longing for the sweet release of death,-10,7
4/8/2018 13:06:53,Python,Monty Python and the Holy Grail,3,Yep!,29,Skynet is a WINNER!,Longing for the sweet release of death,6,8
4/8/2018 13:06:54,MATLAB,Time Bandits,7,Yep!,37,Team Humans!,Chess,10,4
4/8/2018 13:06:56,Python,Monty Python's Life of Brian,5,Yep!,34,Skynet is a WINNER!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",3,10
4/8/2018 13:06:57,Python,Monty Python's The Meaning of Life,3,Nope.,3,Team Humans!,Chess,10,6
4/8/2018 13:07:06,Python,And Now for Something Completely Different,2,Yep!,32,Team Humans!,Go,9,6
4/8/2018 13:07:09,Python,Time Bandits,0,Nope.,31,Team Humans!,Chess,10,7
4/8/2018 13:07:10,R,Monty Python and the Holy Grail,2,Yep!,27,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",4,8
4/8/2018 13:07:16,Python,Monty Python and the Holy Grail,12,Yep!,46,Team Humans!,Chess,10,7
4/8/2018 13:07:17,Python,Monty Python and the Holy Grail,4,Nope.,51,Team Humans!,Go,8,9
4/8/2018 13:07:18,Python,Monty Python Live at the Hollywood Bowl,0,Nope.,41,Team Humans!,Chess,8,8
4/8/2018 13:07:21,Python,Monty Python and the Holy Grail,1,Nope.,40,Team Humans!,Go,8,8
4/8/2018 13:07:24,Python,Monty Python's Life of Brian,4,Nope.,40,Skynet is a WINNER!,Chess,5,10
4/8/2018 13:07:26,Python,Monty Python and the Holy Grail,2,Yep!,39,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",8,4
4/8/2018 13:07:27,C++,Monty Python and the Holy Grail,1,Nope.,57,Team Humans!,Chess,10,7
4/8/2018 13:07:30,R,Time Bandits,0.5,Nope.,23,Team Humans!,Go,4,10
4/8/2018 13:07:31,Python,And Now for Something Completely Different,2,Nope.,23,Team Humans!,Chess,4,5
4/8/2018 13:07:40,Python,Monty Python and the Holy Grail,8,Nope.,41,Team Humans!,Chess,5,3
4/8/2018 13:07:42,Python,Monty Python and the Holy Grail,1,Yep!,27,Team Humans!,Go,4,8
4/8/2018 13:07:49,Python,Monty Python and the Holy Grail,1,Nope.,47,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",6,7
4/8/2018 13:07:49,Python,Monty Python and the Holy Grail,5,Nope.,49,Team Humans!,Chess,4,7
4/8/2018 13:07:51,Python,Monty Python's The Meaning of Life,2,Nope.,32,Team Humans!,Chess,4,7
4/8/2018 13:08:02,R,Monty Python's Life of Brian,1,Yep!,26,Team Humans!,Longing for the sweet release of death,6,8
4/8/2018 13:08:15,Python,Time Bandits,1,Yep!,26,Skynet is a WINNER!,Chess,4,8
4/8/2018 13:08:15,Python,Monty Python and the Holy Grail,1,Yep!,29,Team Humans!,Chess,6,9
4/8/2018 13:08:30,Python,Monty Python's The Meaning of Life,3,Yep!,30,Team Humans!,Chess,6,5
4/8/2018 13:09:45,R,Monty Python and the Holy Grail,0.5,Nope.,52,Team Humans!,Chess,6,4
4/8/2018 13:10:55,Python,And Now for Something Completely Different,7,Yep!,26,Team Humans!,Longing for the sweet release of death,4,6
4/8/2018 13:11:08,Python,Monty Python and the Holy Grail,0.5,Yep!,27,Skynet is a WINNER!,Go,4,9
4/8/2018 13:11:18,Python,And Now for Something Completely Different,3,Yep!,30,Team Humans!,Chess,2,7
4/8/2018 13:12:05,Python,Monty Python and the Holy Grail,1,Nope.,34,Skynet is a WINNER!,Chess,6,6
4/8/2018 13:12:11,Python,Monty Python's The Meaning of Life,4,Yep!,35,Team Humans!,Go,6,5
4/8/2018 13:17:36,Python,Time Bandits,3,Yep!,44,Team Humans!,Chess,6,9
4/8/2018 13:25:43,Python,And Now for Something Completely Different,25,Yep!,76,Team Humans!,Chess,23,1
4/10/2018 10:37:16,Python,Monty Python's The Meaning of Life,25,Yep!,75,Skynet is a WINNER!,Longing for the sweet release of death,12,10